Microsoft SEAL version: 4.1.2
Running precomputations ...
[   2750 MB] Total allocation from the memory pool
Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
2026-05-20T19:33:01+08:00
Running /Users/yunhaowang/mk-rlwe-prototype/SEAL/build/bin/sealbench
Run on (8 X 24.1203 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 4.03, 5.59, 5.00
---------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations
---------------------------------------------------------------------------------------------------------------
n=1024 / log(q)=27 / KeyGen / Secret/iterations:10                          135 us          134 us           10
n=1024 / log(q)=27 / KeyGen / Public/iterations:10                          176 us          176 us           10
n=1024 / log(q)=27 / BFV / EncryptSecret/iterations:10                      352 us          199 us           10
n=1024 / log(q)=27 / BFV / EncryptPublic/iterations:10                      300 us          299 us           10
n=1024 / log(q)=27 / BFV / Decrypt/iterations:10                           75.1 us         75.2 us           10
n=1024 / log(q)=27 / BFV / EncodeBatch/iterations:10                       16.8 us         16.9 us           10
n=1024 / log(q)=27 / BFV / DecodeBatch/iterations:10                       22.7 us         22.3 us           10
n=1024 / log(q)=27 / BFV / EvaluateAddCt/iterations:10                     5.96 us         6.10 us           10
n=1024 / log(q)=27 / BFV / EvaluateAddPt/iterations:10                     12.8 us         12.5 us           10
n=1024 / log(q)=27 / BFV / EvaluateNegate/iterations:10                    3.44 us         3.60 us           10
n=1024 / log(q)=27 / BFV / EvaluateSubCt/iterations:10                     3.90 us         3.80 us           10
n=1024 / log(q)=27 / BFV / EvaluateSubPt/iterations:10                     11.8 us         11.3 us           10
n=1024 / log(q)=27 / BFV / EvaluateMulCt/iterations:10                      517 us          479 us           10
n=1024 / log(q)=27 / BFV / EvaluateMulPt/iterations:10                     56.5 us         54.5 us           10
n=1024 / log(q)=27 / BFV / EvaluateSquare/iterations:10                     373 us          348 us           10
n=1024 / log(q)=27 / BGV / EncryptSecret/iterations:10                      173 us          165 us           10
n=1024 / log(q)=27 / BGV / EncryptPublic/iterations:10                      251 us          235 us           10
n=1024 / log(q)=27 / BGV / Decrypt/iterations:10                           25.1 us         24.9 us           10
n=1024 / log(q)=27 / BGV / EncodeBatch/iterations:10                       10.9 us        10.00 us           10
n=1024 / log(q)=27 / BGV / DecodeBatch/iterations:10                       13.6 us         13.7 us           10
n=1024 / log(q)=27 / BGV / EvaluateNegate/iterations:10                    3.57 us         3.90 us           10
n=1024 / log(q)=27 / BGV / EvaluateNegateInplace/iterations:10             3.34 us         3.40 us           10
n=1024 / log(q)=27 / BGV / EvaluateAddCt/iterations:10                     4.58 us         4.80 us           10
n=1024 / log(q)=27 / BGV / EvaluateAddCtInplace/iterations:10              3.77 us         4.00 us           10
n=1024 / log(q)=27 / BGV / EvaluateAddPt/iterations:10                     21.8 us         21.3 us           10
n=1024 / log(q)=27 / BGV / EvaluateAddPtInplace/iterations:10              23.0 us         20.7 us           10
n=1024 / log(q)=27 / BGV / EvaluateMulCt/iterations:10                     16.5 us         16.0 us           10
n=1024 / log(q)=27 / BGV / EvaluateMulCtInplace/iterations:10              13.6 us         13.7 us           10
n=1024 / log(q)=27 / BGV / EvaluateMulPt/iterations:10                     24.3 us         24.2 us           10
n=1024 / log(q)=27 / BGV / EvaluateMulPtInplace/iterations:10              27.7 us         25.1 us           10
n=1024 / log(q)=27 / BGV / EvaluateSquare/iterations:10                    11.8 us         11.9 us           10
n=1024 / log(q)=27 / BGV / EvaluateSquareInplace/iterations:10             12.3 us         12.4 us           10
n=1024 / log(q)=27 / BGV / EvaluateToNTTInplace/iterations:10              23.2 us         22.3 us           10
n=1024 / log(q)=27 / BGV / EvaluateFromNTTInplace/iterations:10            17.4 us         16.6 us           10
n=1024 / log(q)=27 / CKKS / EncryptSecret/iterations:10                     156 us          147 us           10
n=1024 / log(q)=27 / CKKS / EncryptPublic/iterations:10                     242 us          227 us           10
n=1024 / log(q)=27 / CKKS / Decrypt/iterations:10                          7.82 us         7.10 us           10
n=1024 / log(q)=27 / CKKS / EncodeDouble/iterations:10                     43.6 us         40.2 us           10
n=1024 / log(q)=27 / CKKS / DecodeDouble/iterations:10                     33.0 us         32.1 us           10
n=1024 / log(q)=27 / CKKS / EvaluateAddCt/iterations:10                    5.00 us         4.90 us           10
